history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
TQOB;2018-10-01;ОФЗ 46020;SU46020RMFS2;76;949712.21;86.233;86.75;86.3;86.3;8.89;86.495;8.63;86.75;1098;86.495;86.495;86.3;949712.21;949712.21;949712.21;2036-02-06;3476;8.6;;;6.9;34.41;;2018-10-01;1000;SUR;;;;;RUB
TQOB;2018-10-02;ОФЗ 46020;SU46020RMFS2;88;5969855.53;86.758;87.9;87.48;87.48;9.08;87.113;8.47;86.96;6853;87.113;87.113;87.48;5969855.53;5969855.53;5969855.53;2036-02-06;3485;8.52;;;6.9;34.41;;2018-10-02;1000;SUR;;;;;RUB
TQOB;2018-10-03;ОФЗ 46020;SU46020RMFS2;151;3392760.17;86.999;92.49;87;87;9.26;87.555;8.54;87.134;3875;87.555;87.555;87;3392760.17;3392760.17;3392760.17;2036-02-06;3490;8.47;;;6.9;34.41;;2018-10-03;1000;SUR;;;;;RUB
TQOB;2018-10-04;ОФЗ 46020;SU46020RMFS2;120;1352997.99;85.99;87.51;86.012;86.011;9.45;86.398;8.67;87.508;1566;86.398;86.398;86.011;1352997.99;1352997.99;1352997.99;2036-02-06;3471;8.62;;;6.9;34.41;;2018-10-04;1000;SUR;;;;;RUB
TQOB;2018-10-05;ОФЗ 46020;SU46020RMFS2;172;2110193.3;84.902;86.012;85.5;85.5;9.64;85.054;8.73;86.012;2481;85.054;85.054;85.5;2110193.3;2110193.3;2110193.3;2036-02-06;3449;8.79;;;6.9;34.41;;2018-10-05;1000;SUR;;;;;RUB
TQOB;2018-10-08;ОФЗ 46020;SU46020RMFS2;66;672823.69;84.603;85.895;85.098;85.098;10.21;84.953;8.79;84.91;792;84.952;84.952;85.098;672823.69;672823.69;672823.69;2036-02-06;3444;8.81;;;6.9;34.41;;2018-10-08;1000;SUR;;;;;RUB
TQOB;2018-10-09;ОФЗ 46020;SU46020RMFS2;74;927635.39;84.304;85.094;84.6;84.6;10.4;84.638;8.85;84.604;1096;84.638;84.638;84.6;927635.39;927635.39;927635.39;2036-02-06;3438;8.85;;;6.9;34.41;;2018-10-09;1000;SUR;;;;;RUB
TQOB;2018-10-10;ОФЗ 46020;SU46020RMFS2;101;1243867.4;84;85.037;84.9;84.928;10.59;84.559;8.81;84.304;1471;84.559;84.559;84.928;1243867.4;1243867.4;1243867.4;2036-02-06;3436;8.86;;;6.9;34.41;;2018-10-10;1000;SUR;;;;;RUB
TQOB;2018-10-11;ОФЗ 46020;SU46020RMFS2;64;557525.75;84.05;84.999;84.747;84.747;10.78;84.474;8.84;84.054;660;84.474;84.474;84.747;557525.75;557525.75;557525.75;2036-02-06;3434;8.87;;;6.9;34.41;;2018-10-11;1000;SUR;;;;;RUB
TQOB;2018-10-12;ОФЗ 46020;SU46020RMFS2;91;19467312.25;84.101;85.852;85.749;85.749;10.97;85.029;8.7;84.101;22895;85.029;85.029;85.749;19467312.25;19467312.25;19467312.25;2036-02-06;3441;8.8;;;6.9;34.41;;2018-10-12;1000;SUR;;;;;RUB
