history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;РГС СК ао;RGSS;30;130010;0.321;0.31;0.349;0.315;0.325;0.315;400000;;0.32;0.315;0;544101;0;
TQBR;2018-10-02;РГС СК ао;RGSS;19;110216;0.314;0.309;0.315;0.315;0.311;0.315;354000;;0.318;0.315;0;500752;0;
TQBR;2018-10-03;РГС СК ао;RGSS;41;160192;0.318;0.305;0.318;0.31;0.31;0.31;516000;;0.316;0.31;0;504618;0;
TQBR;2018-10-04;РГС СК ао;RGSS;8;10886;0.314;0.305;0.315;0.31;0.311;0.31;35000;;0.316;0.31;0;500044;0;
TQBR;2018-10-05;РГС СК ао;RGSS;8;21646;0.305;0.3;0.308;0.308;0.305;0.308;71000;;0.315;0.308;0;505103;0;
TQBR;2018-10-08;РГС СК ао;RGSS;9;19865;0.305;0.298;0.307;0.306;0.306;0.306;65000;;0.315;0.306;0;500323;0;
TQBR;2018-10-09;РГС СК ао;RGSS;23;40633;0.301;0.291;0.306;0.294;0.297;0.294;137000;;0.313;0.294;0;522017;0;
TQBR;2018-10-10;РГС СК ао;RGSS;53;80468;0.295;0.275;0.298;0.28;0.284;0.28;283000;;0.306;0.28;0;500867;0;
TQBR;2018-10-11;РГС СК ао;RGSS;14;52390;0.28;0.28;0.288;0.285;0.282;0.285;186000;;0.302;0.285;0;523071;0;
TQBR;2018-10-12;РГС СК ао;RGSS;85;131480;0.276;0.267;0.285;0.276;0.274;0.276;480000;;0.292;0.276;0;517560;0;
TQBR;2018-10-15;РГС СК ао;RGSS;41;115918;0.276;0.268;0.287;0.281;0.277;0.281;418000;;0.284;0.281;0;503254;0;
TQBR;2018-10-16;РГС СК ао;RGSS;62;329511;0.271;0.265;0.278;0.272;0.269;0.272;1223000;;0.272;0.272;0;502115;0;
TQBR;2018-10-17;РГС СК ао;RGSS;28;132837;0.276;0.265;0.276;0.266;0.266;0.266;500000;;0.269;0.266;0;508815;0;
TQBR;2018-10-18;РГС СК ао;RGSS;17;79265;0.266;0.263;0.268;0.268;0.266;0.268;298000;;0.268;0.268;0;500732;0;
TQBR;2018-10-19;РГС СК ао;RGSS;520;3198333;0.262;0.262;0.373;0.373;0.354;0.373;9023000;0.354;0.354;0.373;3198333;3198333;3198333;
TQBR;2018-10-22;РГС СК ао;RGSS;395;1917600;0.381;0.303;0.43;0.376;0.381;0.383;5036000;0.381;0.381;0.376;1917600;1917600;1917600;
TQBR;2018-10-23;РГС СК ао;RGSS;348;944500;0.37;0.316;0.38;0.334;0.334;0.334;2826000;0.334;0.334;0.334;944500;944500;944500;
TQBR;2018-10-24;РГС СК ао;RGSS;516;1550785;0.31;0.293;0.36;0.302;0.311;0.302;4990000;0.311;0.311;0.302;1550785;1550785;1550785;
TQBR;2018-10-25;РГС СК ао;RGSS;210;655532;0.291;0.29;0.319;0.292;0.297;0.292;2206000;0.297;0.297;0.292;655532;655532;655532;
TQBR;2018-10-26;РГС СК ао;RGSS;158;311421;0.291;0.281;0.295;0.294;0.288;0.294;1082000;;0.289;0.294;0;501676;0;
TQBR;2018-10-29;РГС СК ао;RGSS;812;4222285;0.301;0.288;0.38;0.345;0.339;0.345;12444000;0.339;0.339;0.345;4222285;4222285;4222285;
TQBR;2018-10-30;РГС СК ао;RGSS;1389;8620185;0.351;0.316;0.425;0.364;0.382;0.364;22555000;0.382;0.382;0.364;8620185;8620185;8620185;
TQBR;2018-10-31;РГС СК ао;RGSS;177;451086;0.361;0.342;0.371;0.344;0.352;0.344;1283000;;0.353;0.344;0;504250;0;
TQBR;2018-11-01;РГС СК ао;RGSS;125;298623;0.35;0.33;0.355;0.341;0.339;0.342;880000;;0.343;0.341;0;501364;0;
TQBR;2018-11-02;РГС СК ао;RGSS;128;439311;0.342;0.323;0.342;0.33;0.332;0.33;1324000;;0.332;0.33;0;500001;0;
TQBR;2018-11-06;РГС СК ао;RGSS;174;1056462;0.335;0.319;0.34;0.321;0.335;0.323;3149000;0.335;0.335;0.321;1056462;1056462;1056462;
TQBR;2018-11-07;РГС СК ао;RGSS;351;1602532;0.322;0.298;0.33;0.305;0.304;0.305;5266000;0.304;0.304;0.305;1602532;1602532;1602532;
TQBR;2018-11-08;РГС СК ао;RGSS;493;2124074;0.311;0.271;0.311;0.303;0.304;0.303;6988000;0.304;0.304;0.303;2124074;2124074;2124074;
TQBR;2018-11-09;РГС СК ао;RGSS;313;614816;0.303;0.281;0.303;0.297;0.292;0.297;2104000;0.292;0.292;0.297;614816;614816;614816;
TQBR;2018-11-12;РГС СК ао;RGSS;214;372673;0.297;0.287;0.299;0.291;0.292;0.291;1276000;;0.292;0.291;0;501349;0;
